Date,Price,Open,High,Low,Volume,Change
"Mar 06, 2013",1591.25,1593.55,1602.8,1576.3,-,-0.14
"Mar 05, 2013",1593.5,1572.5,1597.45,1572.5,-,1.37
"Mar 04, 2013",1571.95,1578.05,1584.95,1564.15,-,-0.41
"Mar 03, 2013",1578.35,1574.0,1580.45,1574.0,-,0.31
"Mar 01, 2013",1573.5,1585.15,1585.45,1565.55,-,-0.74
"Feb 28, 2013",1585.25,1604.8,1607.65,1582.45,-,-1.19
"Feb 27, 2013",1604.3,1622.35,1625.65,1592.75,-,-1.11
"Feb 26, 2013",1622.25,1611.3,1625.65,1581.1,-,0.6
"Feb 25, 2013",1612.5,1607.45,1630.6,1597.9,-,0.32
"Feb 24, 2013",1607.3,1610.85,1610.85,1606.9,-,-0.16
"Feb 22, 2013",1609.9,1624.45,1631.55,1604.5,-,-0.91
"Feb 21, 2013",1624.75,1648.65,1651.15,1599.25,-,-1.46
"Feb 20, 2013",1648.8,1692.55,1698.9,1636.15,-,-2.59
"Feb 19, 2013",1692.6,1699.1,1703.9,1677.3,-,-0.39
"Feb 18, 2013",1699.15,1688.95,1699.2,1685.55,-,0.59
"Feb 17, 2013",1689.2,1684.15,1689.3,1682.8,-,0.51
"Feb 15, 2013",1680.65,1713.4,1717.05,1671.35,-,-1.95
"Feb 14, 2013",1714.15,1722.85,1734.9,1709.75,-,-0.51
"Feb 13, 2013",1722.9,1722.15,1735.75,1717.15,-,0.03
"Feb 12, 2013",1722.45,1696.75,1724.55,1687.85,-,1.54
"Feb 11, 2013",1696.3,1713.9,1719.95,1686.1,-,-1.02
"Feb 10, 2013",1713.85,1713.1,1714.35,1712.85,-,-0.17
"Feb 08, 2013",1716.75,1718.55,1733.3,1708.0,-,-0.09
"Feb 07, 2013",1718.35,1737.8,1742.9,1716.5,-,-1.11
"Feb 06, 2013",1737.6,1713.55,1741.9,1711.15,-,1.37
"Feb 05, 2013",1714.15,1700.0,1714.7,1687.5,-,0.84
"Feb 04, 2013",1699.85,1688.35,1708.95,1684.85,-,0.7
"Feb 03, 2013",1688.0,1687.85,1689.65,1685.75,-,0.2
"Feb 01, 2013",1684.7,1677.15,1693.65,1668.45,-,0.45
"Jan 31, 2013",1677.1,1688.8,1688.8,1667.45,-,-0.7
"Jan 30, 2013",1688.85,1682.35,1693.45,1679.15,-,0.39
"Jan 29, 2013",1682.3,1668.7,1682.6,1665.8,-,0.82
"Jan 28, 2013",1668.65,1693.75,1699.25,1659.95,-,-1.46
"Jan 27, 2013",1693.3,1693.2,1699.75,1692.25,-,-0.17
"Jan 25, 2013",1696.15,1681.35,1696.95,1675.15,-,0.9
"Jan 24, 2013",1681.1,1688.55,1692.7,1676.15,-,-0.43
"Jan 23, 2013",1688.4,1701.0,1704.45,1686.75,-,-0.71
"Jan 22, 2013",1700.55,1683.55,1701.9,1680.8,-,1.01
"Jan 21, 2013",1683.6,1679.3,1686.2,1667.4,-,0.27
"Jan 20, 2013",1679.1,1670.45,1680.3,1668.45,-,0.52
"Jan 18, 2013",1670.45,1687.35,1701.45,1664.25,-,-1.02
"Jan 17, 2013",1687.6,1691.0,1706.05,1673.45,-,-0.18
"Jan 16, 2013",1690.65,1684.4,1699.95,1657.8,-,0.31
"Jan 15, 2013",1685.5,1656.85,1706.45,1654.15,-,1.74
"Jan 14, 2013",1656.75,1634.85,1664.75,1634.8,-,1.34
"Jan 13, 2013",1634.8,1629.55,1636.75,1628.9,-,0.15
"Jan 11, 2013",1632.4,1635.85,1641.35,1616.75,-,-0.16
"Jan 10, 2013",1634.95,1594.85,1637.55,1594.3,-,2.51
"Jan 09, 2013",1594.95,1582.0,1603.6,1578.4,-,0.8
"Jan 08, 2013",1582.35,1560.95,1587.35,1553.4,-,1.36
"Jan 07, 2013",1561.1,1563.8,1571.15,1551.4,-,-0.19
"Jan 06, 2013",1564.05,1564.0,1564.35,1562.7,-,0.21
"Jan 04, 2013",1560.8,1555.1,1565.4,1543.6,-,0.36
"Jan 03, 2013",1555.15,1571.65,1580.75,1555.15,-,-1.04
"Jan 02, 2013",1571.5,1540.15,1580.95,1539.4,-,2.0
"Jan 01, 2013",1540.7,1543.1,1546.1,1539.5,-,-0.15
"Dec 31, 2012",1543.0,1527.3,1544.15,1519.15,-,1.04
"Dec 30, 2012",1527.1,1523.9,1529.1,1523.6,-,0.16
"Dec 28, 2012",1524.7,1536.6,1542.95,1519.6,-,-0.84
"Dec 27, 2012",1537.6,1544.0,1551.75,1532.4,-,-0.42
"Dec 26, 2012",1544.15,1550.3,1551.55,1537.2,-,0.35
"Dec 24, 2012",1538.75,1544.15,1553.5,1536.05,-,-0.34
"Dec 23, 2012",1543.95,1541.2,1543.95,1541.2,-,0.3
"Dec 21, 2012",1539.3,1555.0,1558.45,1526.55,-,-1.04
