horse_name,horse_home,horse_sex,horse_dob,horse_age,horse_class,horse_group,horse_trainer,horse_owner,horse_dad,horse_mom,race_count,first,second,one_yr_count,one_yr_first,one_yr_second,horse_earned_money,horse_rating,horse_price
다시두손,한,암,2017/04/23,3,국6,99,휴양마,이도명,올드패션드,백만부자,6,0,1,6,0,1,10000000,,0
다이나믹질주,미,수,2011/02/04,9,외1,17,김점오,이원태,FORESTRY,BEAT YOUR FEET,68,8,7,10,0,0,729393000,89,5000
다이나믹커밍,미,수,2017/04/07,3,외3,18,박대흥,이원태,GEMOLOGIST,STORM COMING,4,1,1,4,1,1,58500000,55, 0
다이나믹펀치,한(포),수,2017/03/26,3,국3,99,휴양마,이원태,GOLDENCENTS,티즈어리틀위치,6,3,1,6,3,1,107700000,54, 0
다이아로드,한,암,2016/04/26,4,국2,40,송문길,손병철,캡틴콜티시,기억날그날,6,5,1,6,5,1,424050000,79, 0
다이아별빛,한,거,2017/03/01,3,국6,20,배대선,강종우,포리스트캠프,별빛소리,3,0,0,3,0,0,0,,0
다이아삭스,미,수,2014/04/28,6,외1,99,휴양마,김창식,LANGFUHR,ROYAL STRATEGY,24,3,11,7,0,4,663300000,11, 0
다이아키,한,수,2017/05/17,3,국4,99,휴양마,강종우,백광,골드럭키,4,2,0,4,2,0,61800000,37, 0
다크플레이어,미,수,2016/03/02,4,외2,42,이관호,박남성,MAJESTIC WARRIOR,KEY GLACKEN,13,2,5,9,1,3,175950000,73, 0
다행이다,한,수,2017/03/27,3,국5,99,휴양마,우태율,컬러즈플라잉,스페어더라드,5,0,2,5,0,2,18100000,27, 0
단비와호수,한,암,2017/04/10,3,국6,49,지용철,김선식,머스킷맨,선주공주,4,0,0,4,0,0,0,,0
달과구름,한,거,2016/02/28,4,국5,27,박병일,이관형,어플리트어게인,제이신다,9,1,1,4,0,0,49800000,33, 0
달려라광산,한,암,2015/05/29,5,국5,99,휴양마,김한수,사이먼퓨어,부다즈걸,12,1,1,9,1,1,29200000,31, 0
달려라속보,한,거,2015/05/10,5,국5,15,박희철,신영식,원쿨캣,네오라이프,19,0,2,13,0,2,14400000,21, 0
달리는빛깔,한,수,2017/05/10,3,국6,49,지용철,김종식,메니피,그레노블,6,0,1,6,0,1,8160000,,0
달리는에이스,한,거,2015/04/20,5,국5,15,박희철,경규환,원쿨캣,탐라비바리,21,0,2,14,0,2,21680000,24, 0
달리는웅지,한,수,2015/04/25,5,국5,15,박희철,경규환,듀앨러티,홍키통크팻,14,0,1,10,0,1,13440000,22, 0
달리미,한,암,2017/03/03,3,국미,54,박천서,윤훈현,휠어웨이,동진태후,0,0,0,0,0,0,0,,0
달순이,한,암,2015/03/01,5,국5,23,유재길,김영완,컬러즈플라잉,말리부스카이,22,1,2,12,1,2,41520000,31, 0
당대걸작,한,거,2013/04/26,7,국1,99,휴양마,(주)자성실업,피스룰즈,소오리지널,31,4,6,4,0,0,271100000,82, 0
당대로얄,한,암,2016/04/21,4,국6,30,토니,김광두,에어쉐이디,로얄챔피언,5,0,0,5,0,0,5200000,,25000
당대질주,한,암,2016/03/08,4,국5,26,안해양,조성옥,윈체스터,더빅씨,13,0,1,9,0,1,25520000,24, 0
당찬바람,한,암,2017/05/01,3,국5,06,홍대유,김재덕,피스룰즈,당찬아이,5,0,2,5,0,2,13900000,27, 0
대군불패,미,수,2016/02/03,4,외3,08,최용구,표종순,ADIOS CHARLIE,TOLEN PURSE,8,3,0,6,3,0,123450000,61, 0
대군옥,한,암,2016/04/25,4,국5,99,휴양마,표종순,메이세이오페라,패스테릭,12,0,1,12,0,1,16240000,24, 0
대군의검,미,수,2016/03/06,4,외4,99,휴양마,표종진,MAJESTIC WARRIOR,HE GOOD TIMES,7,0,2,4,0,2,38400000,47, 18000
대군의길,미,수,2016/04/17,4,외4,07,구자흥,표종순,CAIRO PRINCE,SMALL KITCHEN,12,1,2,8,1,0,76050000,5, 0
대군의꿈,미,거,2016/02/19,4,외4,07,구자흥,표종진,VERRAZANO,SHEER BEAUTY,8,0,0,6,0,0,0,32,7500
대군의창,미,수,2016/05/07,4,외3,27,박병일,표종순,MAJESTIC WARRIOR,ZELLA,10,1,4,7,1,2,113550000,63, 0
대군일갈,미,거,2016/04/16,4,외4,99,휴양마,표종진,GIO PONTI,K CORAL,10,0,2,5,0,0,52200000,46,6000
대군제패,미,수,2016/02/10,4,외2,27,박병일,표종순,RUN AWAY AND HIDE,O LLORES CATITA,10,2,4,7,2,2,166200000,69, 0
대군천하,미,수,2016/03/30,4,외2,08,최용구,표종진,VERRAZANO,FANFIRE,11,2,2,9,2,2,186000000,75, 16000
대군파워,한(포),거,2016/10/05,4,국4,08,최용구,표종순,THE FACTOR,칼람바,6,2,1,6,2,1,63800000,42, 0
대군피닉스,미,거,2016/02/27,4,외4,02,손영표,표종순,티즈웨이,TORREYANA,5,1,0,5,1,0,35400000,45, 0
대길이,한,거,2015/04/20,5,국6,40,송문길,윤우환,인그란디어,메이요매스트,7,0,1,6,0,1,9360000,,27000
대대손손,한,암,2016/03/26,4,미,09,강성오,김경민,피스룰즈,얼짱불패,10,1,0,10,1,0,24720000,28, 0
대디글로리,한(포),암,2016/05/01,4,국3,52,김동균,박정배,SCAT DADDY,벤트온글로리,11,3,3,6,1,2,189300000,62, 55000
대디코잔,미,거,2017/03/16,3,외4,28,최상식,강석대,KHOZAN,DADDY'S HONOR,2,0,0,2,0,0,8400000,39, 0
대마불사,미,수,2017/04/21,3,외미,08,최용구,이미양,DISTORTED HUMOR,BALLETTO,0,0,0,0,0,0,0,,0
대마지풍,한,수,2016/04/30,4,국5,01,박종곤,한종희,비와신세이키,골드퓨처즈,6,1,0,5,1,0,15680000,27, 0
대박이다,미,거,2013/02/04,7,외1,99,휴양마,최수군,PADDY O'PRADO,FIRST SETTLER,34,4,2,8,1,0,306800000,83, 0
대박행진,미,암,2016/04/17,4,외2,42,이관호,최수군,JIMMY CREED,SHE'S AN ALPHA GAM,13,1,6,8,1,5,142200000,7, 0
대변화,한,거,2015/06/06,5,국3,49,지용철,이수길,샤프휴머,대화합,24,2,5,12,1,4,157690000,58, 0
