Date,Price,Open,High,Low,Change
"Jan 13, 2015",1269.99,1280.0,1285.06,1267.03,-0.87
"Jan 12, 2015",1281.18,1284.1,1289.83,1277.58,-0.36
"Jan 09, 2015",1285.78,1290.65,1293.87,1282.39,-0.47
"Jan 08, 2015",1291.88,1299.39,1304.48,1287.18,-0.69
"Jan 07, 2015",1300.8,1305.3,1310.4,1298.81,-0.44
"Jan 06, 2015",1306.6,1323.06,1325.35,1304.77,-1.35
"Jan 05, 2015",1324.53,1327.21,1330.66,1313.83,-0.3
"Jan 02, 2015",1328.58,1320.98,1334.14,1319.22,0.47
"Jan 01, 2015",1322.3,1322.08,1324.45,1320.33,-0.09
"Dec 31, 2014",1323.45,1332.2,1334.37,1319.2,-0.76
"Dec 30, 2014",1333.58,1335.76,1338.93,1330.52,-0.26
"Dec 29, 2014",1337.09,1338.57,1342.66,1334.36,-0.16
"Dec 26, 2014",1339.17,1345.46,1348.19,1335.16,-0.56
"Dec 25, 2014",1346.73,1345.31,1351.62,1344.07,0.0
"Dec 24, 2014",1346.69,1345.59,1348.75,1340.9,-0.02
"Dec 23, 2014",1346.97,1344.11,1351.35,1340.2,0.11
"Dec 22, 2014",1345.5,1343.53,1348.09,1338.18,0.02
"Dec 19, 2014",1345.27,1349.8,1356.24,1342.34,-0.43
"Dec 18, 2014",1351.14,1352.77,1365.96,1343.48,-0.23
"Dec 17, 2014",1354.22,1351.09,1370.32,1349.14,0.13
"Dec 16, 2014",1352.51,1363.94,1368.41,1348.62,-0.94
"Dec 15, 2014",1365.35,1375.22,1377.91,1363.61,-0.79
"Dec 12, 2014",1376.24,1367.29,1378.01,1363.73,0.55
"Dec 11, 2014",1368.75,1369.83,1375.59,1363.35,-0.19
"Dec 10, 2014",1371.3,1366.0,1374.31,1362.21,0.29
"Dec 09, 2014",1367.35,1368.38,1373.72,1362.73,-0.17
"Dec 08, 2014",1369.72,1375.7,1380.01,1364.69,-0.6
"Dec 05, 2014",1377.94,1375.79,1381.62,1369.26,0.07
"Dec 04, 2014",1377.03,1372.66,1385.5,1369.0,0.22
"Dec 03, 2014",1374.05,1379.64,1385.52,1369.34,-0.51
"Dec 02, 2014",1381.1,1382.69,1384.64,1375.51,-0.23
"Dec 01, 2014",1384.28,1384.91,1393.5,1377.38,-0.13
"Nov 28, 2014",1386.12,1370.47,1388.12,1368.75,1.04
"Nov 27, 2014",1371.83,1379.01,1381.52,1367.87,-0.62
"Nov 26, 2014",1380.38,1383.57,1386.02,1377.08,-0.32
"Nov 25, 2014",1384.87,1384.76,1389.06,1375.22,-0.09
"Nov 24, 2014",1386.12,1373.98,1389.33,1372.21,0.67
"Nov 21, 2014",1376.89,1393.13,1401.68,1374.85,-1.27
"Nov 20, 2014",1394.56,1396.9,1402.7,1391.26,-0.26
"Nov 19, 2014",1398.26,1378.93,1402.2,1377.03,1.3
"Nov 18, 2014",1380.3,1369.49,1380.88,1366.83,0.69
"Nov 17, 2014",1370.85,1377.12,1383.68,1365.4,-0.57
"Nov 14, 2014",1378.64,1366.85,1382.22,1365.81,0.76
"Nov 13, 2014",1368.28,1361.4,1369.86,1358.93,0.41
"Nov 12, 2014",1362.76,1364.38,1374.62,1358.97,-0.22
"Nov 11, 2014",1365.82,1353.42,1371.54,1351.06,0.85
"Nov 10, 2014",1354.25,1352.12,1357.1,1350.5,0.05
"Nov 07, 2014",1353.61,1348.66,1359.05,1348.11,0.26
"Nov 06, 2014",1350.12,1360.33,1370.88,1342.32,-0.85
"Nov 05, 2014",1361.68,1351.51,1365.51,1348.28,0.65
"Nov 04, 2014",1352.82,1350.78,1356.99,1345.89,0.06
