Date,Price,Open,High,Low,Change
"Feb 28, 2013",1644.74,1644.05,1650.23,1638.34,-0.0
"Feb 27, 2013",1644.79,1647.75,1649.25,1634.76,-0.29
"Feb 26, 2013",1649.57,1646.7,1658.99,1645.4,0.09
"Feb 25, 2013",1648.11,1635.47,1651.48,1635.14,-0.44
"Feb 22, 2013",1655.36,1657.15,1664.05,1652.72,-0.16
"Feb 21, 2013",1658.0,1645.03,1660.61,1642.19,0.68
"Feb 20, 2013",1646.8,1665.9,1667.89,1640.6,-1.21
"Feb 19, 2013",1666.99,1675.12,1677.84,1664.06,-0.54
"Feb 18, 2013",1676.01,1671.22,1681.32,1667.67,0.08
"Feb 15, 2013",1674.66,1680.88,1683.47,1667.04,-0.4
"Feb 14, 2013",1681.39,1687.47,1689.2,1678.93,-0.42
"Feb 13, 2013",1688.41,1712.28,1715.73,1685.22,-1.36
"Feb 12, 2013",1711.63,1715.33,1719.49,1698.52,-0.32
"Feb 11, 2013",1717.11,1730.67,1732.88,1714.46,-0.82
"Feb 08, 2013",1731.3,1712.41,1736.91,1711.16,1.09
"Feb 07, 2013",1712.63,1704.94,1717.13,1702.4,0.39
"Feb 06, 2013",1706.05,1701.27,1709.49,1696.82,0.27
"Feb 05, 2013",1701.38,1717.03,1720.92,1697.47,-0.96
"Feb 04, 2013",1717.91,1720.64,1724.38,1700.62,-0.12
"Feb 01, 2013",1719.94,1723.76,1743.15,1718.6,-0.31
"Jan 31, 2013",1725.26,1715.97,1727.95,1713.18,0.52
"Jan 30, 2013",1716.36,1707.73,1718.72,1698.15,0.46
"Jan 29, 2013",1708.58,1712.56,1716.74,1698.69,-0.27
"Jan 28, 2013",1713.22,1695.26,1724.66,1694.18,0.82
"Jan 25, 2013",1699.37,1686.74,1702.48,1684.92,0.68
"Jan 24, 2013",1687.92,1690.59,1694.97,1681.98,-0.2
"Jan 23, 2013",1691.29,1683.17,1695.91,1682.53,0.42
"Jan 22, 2013",1684.3,1683.76,1692.11,1679.9,0.0
"Jan 21, 2013",1684.28,1675.77,1690.92,1675.56,0.27
"Jan 18, 2013",1679.76,1692.41,1694.07,1677.14,-0.77
"Jan 17, 2013",1692.79,1693.68,1697.13,1687.65,-0.11
"Jan 16, 2013",1694.61,1698.05,1704.46,1691.24,-0.26
"Jan 15, 2013",1698.99,1696.89,1702.84,1693.81,0.05
"Jan 14, 2013",1698.09,1703.6,1706.99,1692.9,-0.32
