Date,Price,Open,High,Low,Change
"Feb 07, 2018",852.78,853.89,856.83,848.54,-0.14
"Feb 06, 2018",853.95,862.8,865.38,850.59,-0.99
"Feb 05, 2018",862.51,863.99,865.86,859.58,-0.12
"Feb 02, 2018",863.51,860.86,868.72,860.36,0.3
"Feb 01, 2018",860.93,862.05,865.08,855.71,-0.12
"Jan 31, 2018",861.95,867.49,870.06,859.84,-0.64
"Jan 30, 2018",867.5,866.72,868.89,862.75,0.07
"Jan 29, 2018",866.88,863.72,868.62,861.38,0.38
"Jan 26, 2018",863.61,856.43,866.61,853.21,0.96
"Jan 25, 2018",855.4,858.25,860.5,853.26,-0.36
"Jan 24, 2018",858.53,858.74,861.42,855.5,-0.07
"Jan 23, 2018",859.12,857.46,860.38,853.5,0.2
"Jan 22, 2018",857.39,853.24,859.29,851.85,0.48
"Jan 19, 2018",853.33,856.57,857.81,852.37,-0.38
"Jan 18, 2018",856.55,850.84,857.74,848.87,0.69
"Jan 17, 2018",850.68,847.63,855.3,845.71,0.37
"Jan 16, 2018",847.58,846.91,849.58,844.92,0.07
"Jan 15, 2018",847.02,838.15,849.08,835.27,0.99
"Jan 12, 2018",838.72,840.8,842.76,834.36,-0.25
"Jan 11, 2018",840.85,839.32,846.26,836.66,0.18
"Jan 10, 2018",839.31,838.71,840.55,835.7,0.08
"Jan 09, 2018",838.66,838.04,840.08,835.36,0.07
"Jan 08, 2018",838.09,834.35,841.92,833.59,0.34
"Jan 05, 2018",835.22,835.13,837.05,831.16,-0.02
"Jan 04, 2018",835.38,834.64,836.83,832.07,0.13
"Jan 03, 2018",834.26,832.23,835.95,831.09,0.21
"Jan 02, 2018",832.5,832.38,835.34,829.24,0.0
"Jan 01, 2018",832.48,832.87,833.49,831.65,-0.03
"Dec 29, 2017",832.77,834.48,836.36,830.57,-0.21
"Dec 28, 2017",834.53,835.29,837.25,831.68,-0.09
"Dec 27, 2017",835.24,831.63,837.26,830.87,0.43
"Dec 26, 2017",831.63,830.67,833.76,828.9,0.1
"Dec 25, 2017",830.78,831.44,835.14,828.3,-0.1
