Date,Price,Open,High,Low,Change
"Aug 31, 2016",143.905,144.27,144.605,143.43,-0.35
"Aug 30, 2016",144.41,144.27,144.61,143.41,0.0
"Aug 29, 2016",144.41,144.65,145.6,144.27,-0.21
"Aug 26, 2016",144.715,143.74,144.905,142.65,0.58
"Aug 25, 2016",143.875,144.49,145.045,143.63,-0.52
"Aug 24, 2016",144.625,144.39,145.155,144.1,0.07
"Aug 23, 2016",144.53,144.8,144.96,143.64,-0.28
"Aug 22, 2016",144.94,143.82,145.7,143.73,0.73
"Aug 19, 2016",143.885,142.78,144.925,142.69,0.68
"Aug 18, 2016",142.92,142.76,143.49,142.15,0.02
"Aug 17, 2016",142.895,141.19,143.985,141.01,1.11
"Aug 16, 2016",141.33,141.43,141.76,140.36,-0.17
"Aug 15, 2016",141.565,142.12,142.515,141.19,-0.5
"Aug 12, 2016",142.27,141.36,142.74,141.27,0.52
"Aug 11, 2016",141.54,141.17,142.39,140.91,0.13
"Aug 10, 2016",141.36,142.03,142.41,140.68,-0.6
"Aug 09, 2016",142.21,142.64,143.3,141.76,-0.4
"Aug 08, 2016",142.78,143.7,144.14,142.49,-0.72
"Aug 05, 2016",143.81,143.43,143.98,142.73,0.14
"Aug 04, 2016",143.615,143.83,144.045,143.23,-0.24
"Aug 03, 2016",143.965,143.11,144.415,143.0,0.5
"Aug 02, 2016",143.25,142.64,143.43,142.37,0.29
"Aug 01, 2016",142.83,143.19,143.8,142.01,-0.38
"Jul 29, 2016",143.375,144.86,145.245,143.08,-1.12
"Jul 28, 2016",144.995,145.76,145.905,144.7,-0.61
"Jul 27, 2016",145.89,146.49,146.69,145.74,-0.54
"Jul 26, 2016",146.68,147.1,147.55,146.15,-0.41
"Jul 25, 2016",147.285,146.35,147.515,146.15,0.55
"Jul 22, 2016",146.48,146.58,147.09,145.99,-0.16
"Jul 21, 2016",146.72,147.3,147.46,146.21,-0.46
"Jul 20, 2016",147.405,147.01,147.535,146.68,0.17
"Jul 19, 2016",147.155,146.22,147.415,146.14,0.51
"Jul 18, 2016",146.405,146.68,147.005,146.13,-0.29
"Jul 15, 2016",146.835,145.89,146.885,145.64,0.53
"Jul 14, 2016",146.065,147.59,148.115,145.61,-1.13
"Jul 13, 2016",147.73,147.23,148.1,147.03,0.21
"Jul 12, 2016",147.415,148.22,148.745,147.02,-0.64
"Jul 11, 2016",148.36,148.09,148.54,147.51,0.1
"Jul 08, 2016",148.21,149.15,149.97,147.79,-0.72
"Jul 07, 2016",149.29,149.31,149.82,148.41,-0.11
"Jul 06, 2016",149.45,149.25,150.79,148.89,0.04
"Jul 05, 2016",149.395,148.32,149.495,148.09,0.6
"Jul 04, 2016",148.505,148.04,148.745,147.45,0.19
"Jul 01, 2016",148.225,148.34,148.775,147.3,-0.2
"Jun 30, 2016",148.515,148.62,149.265,147.67,-0.16
"Jun 29, 2016",148.76,150.28,151.0,148.44,-1.1
"Jun 28, 2016",150.42,151.92,152.87,150.15,-1.11
"Jun 27, 2016",152.105,150.92,153.315,150.87,0.74
"Jun 24, 2016",150.995,147.04,152.205,146.9,2.59
"Jun 23, 2016",147.185,147.99,148.725,146.95,-0.64
"Jun 22, 2016",148.13,148.47,149.31,147.6,-0.35
"Jun 21, 2016",148.655,149.27,149.965,148.2,-0.54
"Jun 20, 2016",149.455,150.67,150.885,148.77,-0.91
"Jun 17, 2016",150.82,150.99,151.8,150.29,-0.21
"Jun 16, 2016",151.13,150.47,151.97,150.32,0.31
"Jun 15, 2016",150.66,151.45,152.19,150.11,-0.61
"Jun 14, 2016",151.585,150.88,152.345,150.66,0.37
"Jun 13, 2016",151.025,150.73,151.495,150.36,0.07
"Jun 10, 2016",150.92,149.18,151.1,148.99,1.04
"Jun 09, 2016",149.37,148.6,149.81,148.23,0.42
"Jun 08, 2016",148.74,148.72,149.33,148.11,-0.11
"Jun 07, 2016",148.9,149.54,150.24,148.35,-0.55
"Jun 06, 2016",149.725,149.72,150.485,149.31,-0.04
"Jun 03, 2016",149.785,152.59,153.225,149.57,-1.93
"Jun 02, 2016",152.73,153.3,153.79,152.46,-0.46
"Jun 01, 2016",153.44,152.91,153.98,152.79,0.23
"May 31, 2016",153.095,154.05,154.635,152.77,-0.74
"May 30, 2016",154.235,152.63,154.295,152.63,0.98
"May 27, 2016",152.735,151.82,152.905,151.5,0.53
"May 26, 2016",151.935,152.01,152.735,151.05,-0.17
"May 25, 2016",152.19,152.77,153.43,151.81,-0.5
"May 24, 2016",152.955,152.14,153.875,152.07,0.41
"May 23, 2016",152.325,152.57,153.375,152.03,-0.24
"May 20, 2016",152.69,152.74,153.6,152.47,-0.12
"May 19, 2016",152.875,153.09,153.645,152.66,-0.21
"May 18, 2016",153.2,151.51,153.71,151.2,1.02
"May 17, 2016",151.655,151.62,151.885,150.75,-0.07
"May 16, 2016",151.76,151.44,152.18,151.23,0.12
"May 13, 2016",151.575,150.66,152.135,150.06,0.5
"May 12, 2016",150.82,150.0,150.98,149.58,0.42
"May 11, 2016",150.185,150.67,151.215,149.62,-0.44
"May 10, 2016",150.855,151.24,151.605,150.55,-0.37
"May 09, 2016",151.415,150.56,151.915,149.72,0.5
"May 06, 2016",150.655,150.28,151.565,150.09,0.13
"May 05, 2016",150.465,150.17,151.025,149.75,0.08
"May 04, 2016",150.35,148.2,150.48,147.99,1.32
"May 03, 2016",148.395,146.38,148.495,145.93,1.25
"May 02, 2016",146.56,147.45,147.85,146.33,-0.69
"Apr 29, 2016",147.585,146.46,148.125,146.02,0.65
"Apr 28, 2016",146.635,148.01,148.325,146.28,-1.02
"Apr 27, 2016",148.15,147.87,148.89,147.17,0.09
"Apr 26, 2016",148.01,148.29,148.63,147.63,-0.28
"Apr 25, 2016",148.43,148.07,148.63,147.58,0.11
"Apr 22, 2016",148.26,146.96,148.4,146.53,0.77
"Apr 21, 2016",147.13,146.0,147.31,145.77,0.65
"Apr 20, 2016",146.185,145.41,146.695,145.2,0.41
"Apr 19, 2016",145.585,147.42,147.865,144.85,-1.33
"Apr 18, 2016",147.55,147.71,148.78,147.1,-0.23
"Apr 15, 2016",147.89,148.57,149.09,147.43,-0.57
"Apr 14, 2016",148.745,147.6,149.525,147.5,0.65
"Apr 13, 2016",147.785,147.37,148.315,147.07,0.18
"Apr 12, 2016",147.515,147.18,148.165,147.02,0.11
"Apr 11, 2016",147.35,148.28,148.95,147.01,-0.73
"Apr 08, 2016",148.44,149.38,150.04,147.73,-0.75
"Apr 07, 2016",149.56,148.87,149.79,148.2,0.37
"Apr 06, 2016",149.015,149.51,150.045,148.52,-0.43
"Apr 05, 2016",149.655,148.44,149.925,148.19,0.73
"Apr 04, 2016",148.575,147.9,148.725,147.58,0.36
"Apr 01, 2016",148.04,147.46,149.06,147.1,0.3
"Mar 31, 2016",147.6,147.39,147.99,146.2,0.05
"Mar 30, 2016",147.53,148.84,149.41,146.87,-1.0
"Mar 29, 2016",149.025,150.12,150.585,148.77,-0.85
"Mar 28, 2016",150.305,150.56,151.365,149.93,-0.26
"Mar 25, 2016",150.695,150.43,151.365,150.02,0.05
"Mar 24, 2016",150.615,150.54,151.025,149.89,-0.08
"Mar 23, 2016",150.73,149.12,150.82,148.88,0.98
"Mar 22, 2016",149.26,149.61,150.38,148.54,-0.35
"Mar 21, 2016",149.79,149.97,150.9,149.11,-0.21
"Mar 18, 2016",150.11,148.74,150.15,148.62,0.79
"Mar 17, 2016",148.93,151.77,152.13,148.36,-1.99
"Mar 16, 2016",151.96,153.78,154.25,151.51,-1.3
"Mar 15, 2016",153.965,153.06,154.385,152.67,0.47
"Mar 14, 2016",153.25,152.94,153.68,152.39,0.1
"Mar 11, 2016",153.09,155.22,156.0,152.5,-1.46
"Mar 10, 2016",155.36,155.54,156.42,154.18,-0.23
"Mar 09, 2016",155.725,155.68,156.875,155.24,-0.06
"Mar 08, 2016",155.815,154.35,155.845,154.33,0.82
"Mar 07, 2016",154.545,154.24,155.555,154.02,0.11
"Mar 04, 2016",154.375,155.89,156.205,153.79,-1.06
"Mar 03, 2016",156.03,157.43,157.94,155.44,-1.01
"Mar 02, 2016",157.62,158.0,159.14,157.38,-0.36
"Mar 01, 2016",158.185,159.08,159.395,157.7,-0.65
"Feb 29, 2016",159.215,159.9,160.275,158.75,-0.42
"Feb 26, 2016",159.885,158.73,160.265,158.29,0.61
"Feb 25, 2016",158.915,158.53,160.125,158.41,0.15
"Feb 24, 2016",158.67,158.47,159.81,158.31,0.04
"Feb 23, 2016",158.605,157.37,158.845,157.16,0.7
"Feb 22, 2016",157.505,158.6,159.315,157.08,-0.77
"Feb 19, 2016",158.72,157.75,159.46,157.71,0.5
"Feb 18, 2016",157.935,157.05,158.765,156.81,0.45
"Feb 17, 2016",157.235,156.31,158.185,156.12,0.51
"Feb 16, 2016",156.44,155.86,156.98,155.45,0.25
"Feb 15, 2016",156.05,154.92,156.05,154.78,0.71
"Feb 12, 2016",154.95,153.97,155.7,153.74,0.54
"Feb 11, 2016",154.115,152.38,154.935,152.34,1.01
"Feb 10, 2016",152.57,153.56,154.21,152.24,-0.75
"Feb 09, 2016",153.73,154.29,155.17,153.34,-0.49
"Feb 08, 2016",154.48,154.65,155.57,154.26,-0.25
"Feb 05, 2016",154.87,152.83,154.94,152.58,1.21
"Feb 04, 2016",153.02,153.93,154.93,151.66,-0.68
"Feb 03, 2016",154.07,155.32,156.76,153.7,-0.9
"Feb 02, 2016",155.465,154.52,155.955,153.86,0.52
"Feb 01, 2016",154.655,155.14,155.655,154.03,-0.4
"Jan 29, 2016",155.275,154.81,155.915,153.67,0.21
"Jan 28, 2016",154.955,154.92,155.555,154.05,-0.07
"Jan 27, 2016",155.06,153.6,155.15,153.56,0.87
"Jan 26, 2016",153.73,153.77,154.78,153.51,-0.12
"Jan 25, 2016",153.91,153.43,154.31,152.92,0.23
"Jan 22, 2016",153.555,153.95,154.615,153.29,-0.26
"Jan 21, 2016",153.95,154.52,155.37,153.79,-0.46
"Jan 20, 2016",154.665,154.28,155.745,154.24,0.16
"Jan 19, 2016",154.42,155.24,155.5,153.83,-0.6
"Jan 18, 2016",155.35,155.74,156.18,154.8,-0.34
"Jan 15, 2016",155.885,155.04,156.685,154.95,0.45
"Jan 14, 2016",155.19,155.78,156.58,155.02,-0.47
"Jan 13, 2016",155.92,155.78,156.57,154.66,0.01
"Jan 12, 2016",155.91,155.02,156.43,154.98,0.48
"Jan 11, 2016",155.17,155.41,156.06,154.82,-0.25
"Jan 08, 2016",155.555,154.18,156.455,153.59,0.8
"Jan 07, 2016",154.325,154.71,155.375,153.73,-0.34
"Jan 06, 2016",154.85,153.49,155.28,153.06,0.8
"Jan 05, 2016",153.625,153.43,153.895,152.67,0.04
"Jan 04, 2016",153.56,151.55,153.95,151.55,1.25
"Jan 01, 2016",151.665,151.6,151.805,151.5,-0.04
"Dec 31, 2015",151.73,151.78,151.95,151.39,-0.13
"Dec 30, 2015",151.92,151.01,152.15,150.72,0.5
"Dec 29, 2015",151.165,150.67,151.265,150.43,0.24
"Dec 28, 2015",150.81,150.91,151.08,149.88,-0.17
"Dec 25, 2015",151.065,150.81,151.165,150.65,0.08
"Dec 24, 2015",150.94,151.34,151.79,150.41,-0.36
"Dec 23, 2015",151.48,151.01,152.19,150.85,0.22
"Dec 22, 2015",151.15,151.36,152.15,150.71,-0.23
"Dec 21, 2015",151.5,152.46,152.6,151.3,-0.67
"Dec 18, 2015",152.52,152.72,153.41,151.88,-0.22
"Dec 17, 2015",152.86,151.11,153.4,151.11,1.08
"Dec 16, 2015",151.225,151.42,152.505,151.02,-0.22
"Dec 15, 2015",151.56,152.68,153.03,151.33,-0.82
"Dec 14, 2015",152.81,153.07,153.61,152.56,-0.27
"Dec 11, 2015",153.22,152.0,153.8,151.79,0.72
"Dec 10, 2015",152.13,152.38,152.65,151.22,-0.25
"Dec 09, 2015",152.51,152.18,152.99,151.66,0.12
"Dec 08, 2015",152.32,151.64,152.91,151.24,0.36
"Dec 07, 2015",151.775,150.04,151.915,149.99,1.09
"Dec 04, 2015",150.145,148.77,150.755,148.73,0.83
"Dec 03, 2015",148.905,149.92,151.105,148.52,-0.77
"Dec 02, 2015",150.06,148.94,150.65,148.74,0.66
"Dec 01, 2015",149.08,149.55,150.0,148.9,-0.41
"Nov 30, 2015",149.7,149.11,149.92,148.75,0.3
"Nov 27, 2015",149.255,148.09,149.335,148.06,0.69
"Nov 26, 2015",148.23,147.5,148.58,147.21,0.41
"Nov 25, 2015",147.63,147.82,148.21,147.25,-0.22
"Nov 24, 2015",147.96,149.39,149.7,147.79,-1.05
"Nov 23, 2015",149.53,148.83,149.93,148.8,0.37
"Nov 20, 2015",148.98,148.97,149.75,148.36,-0.09
"Nov 19, 2015",149.11,150.36,150.75,148.96,-0.91
"Nov 18, 2015",150.48,150.79,151.69,150.35,-0.3
"Nov 17, 2015",150.93,150.76,151.39,150.49,0.02
"Nov 16, 2015",150.9,150.98,151.69,150.76,-0.06
"Nov 13, 2015",150.985,149.44,151.155,149.27,0.94
"Nov 12, 2015",149.58,148.93,150.07,148.42,0.35
"Nov 11, 2015",149.055,149.35,149.535,148.65,-0.3
"Nov 10, 2015",149.5,149.35,150.01,149.02,0.01
"Nov 09, 2015",149.485,148.7,149.985,148.47,0.5
"Nov 06, 2015",148.735,146.67,149.105,146.5,1.31
"Nov 05, 2015",146.81,146.33,147.49,146.28,0.23
"Nov 04, 2015",146.47,145.66,146.97,145.39,0.47
"Nov 03, 2015",145.79,146.75,146.95,145.5,-0.75
"Nov 02, 2015",146.885,147.04,147.635,146.53,-0.24
"Oct 30, 2015",147.235,147.24,147.455,146.46,-0.09
"Oct 29, 2015",147.375,147.74,148.175,147.04,-0.3
"Oct 28, 2015",147.82,146.47,148.31,145.49,0.83
"Oct 27, 2015",146.6,145.62,146.76,145.56,0.58
"Oct 26, 2015",145.755,146.44,146.995,145.47,-0.56
"Oct 23, 2015",146.58,145.71,146.84,144.79,0.5
"Oct 22, 2015",145.85,146.95,147.37,145.62,-0.84
"Oct 21, 2015",147.09,145.86,147.36,145.49,0.75
"Oct 20, 2015",146.0,145.93,146.57,145.27,-0.04
"Oct 19, 2015",146.065,145.87,146.265,144.33,0.05
"Oct 16, 2015",145.99,144.78,146.27,144.73,0.75
"Oct 15, 2015",144.91,146.58,147.1,144.54,-1.23
"Oct 14, 2015",146.71,148.24,149.11,146.38,-1.15
"Oct 13, 2015",148.42,147.5,148.75,147.44,0.53
"Oct 12, 2015",147.635,147.98,148.495,147.01,-0.34
"Oct 09, 2015",148.135,148.62,148.815,146.97,-0.43
"Oct 08, 2015",148.77,149.38,150.14,148.51,-0.5
"Oct 07, 2015",149.52,149.74,150.83,148.45,-0.24
"Oct 06, 2015",149.88,149.7,150.98,149.63,0.05
"Oct 05, 2015",149.81,151.2,151.7,149.44,-1.03
"Oct 02, 2015",151.37,151.97,152.99,151.16,-0.47
"Oct 01, 2015",152.085,152.8,153.025,151.47,-0.56
"Sep 30, 2015",152.935,154.18,154.505,152.23,-0.9
"Sep 29, 2015",154.32,154.18,154.81,153.93,0.0
"Sep 28, 2015",154.32,153.81,154.45,153.72,0.25
"Sep 25, 2015",153.935,153.61,154.775,153.27,0.16
