Date,Open,High,Low,Close,Volume
2012-09-17,275000,276000,265500,267000,274938
2012-09-18,267000,271000,266500,269000,101117
2012-09-19,271500,278000,270000,272000,155733
2012-09-20,274000,280000,272000,277000,112413
2012-09-21,278000,281500,275000,277000,134627
2012-09-24,278000,289500,276000,284500,160770
2012-09-25,285500,291500,273500,275000,222329
2012-09-26,273000,274000,269000,270500,145080
2012-09-27,269500,280000,269500,276500,99967
2012-09-28,276500,292500,274500,290500,358282
2012-10-02,290500,291000,279500,279500,239167
2012-10-04,278000,281000,274000,275000,317557
2012-10-05,279000,284500,275500,283000,283727
2012-10-08,282000,284000,275500,278000,227776
2012-10-09,278000,280000,275000,275000,202132
2012-10-10,273000,277000,271000,271500,198789
2012-10-11,269500,280500,269500,277000,323198
2012-10-12,275500,277000,269500,269500,236113
2012-10-15,271000,276500,270000,276000,250004
2012-10-16,276500,280000,271000,277500,162569
2012-10-17,277000,277500,269500,269500,254260
2012-10-18,269500,271000,255000,256000,536192
2012-10-19,253500,260500,250500,256500,413314
2012-10-22,251000,260000,250500,260000,198099
2012-10-23,257000,260500,251000,255000,268393
2012-10-24,252500,265000,251500,259500,448247
2012-10-25,259500,265000,257500,264000,184706
2012-10-26,255000,256500,244000,249000,631632
2012-10-29,252000,252500,248500,249500,159978
2012-10-30,252000,252500,245000,247500,201164
2012-10-31,249000,256000,248000,252500,148710
2012-11-01,252000,254000,248500,253000,213923
2012-11-02,255000,255000,249000,249000,167450
2012-11-05,249500,255500,249000,255000,199878
2012-11-06,255000,257000,253000,254500,150647
2012-11-07,255000,260000,252000,253500,191533
2012-11-08,256000,262000,255000,260000,392972
2012-11-09,259000,260000,253000,254500,245900
2012-11-12,257500,258000,252000,257000,172910
2012-11-13,258000,258000,250000,251000,167257
2012-11-14,254000,254000,232500,236000,584967
2012-11-15,231500,241500,230500,241000,330862
2012-11-16,241000,244500,238000,244000,218414
2012-11-19,242000,247500,241500,247000,93226
2012-11-20,254000,262500,254000,262500,344324
2012-11-21,265000,266500,259000,261500,353202
2012-11-22,264500,264500,259000,262000,190098
2012-11-23,260500,266500,260000,265500,281983
2012-11-26,266000,267000,261500,265000,142227
2012-11-27,265000,267000,255000,257500,316521
2012-11-28,256000,257500,250000,256000,261137
2012-11-29,258500,258500,251000,254000,239210
2012-11-30,252500,258000,252000,252000,231722
2012-12-03,255500,262000,253000,262000,155662
2012-12-04,260000,265500,258000,263500,272804
2012-12-05,263500,266000,250000,253000,400439
2012-12-06,253000,253000,232500,233000,679597
2012-12-07,235000,240000,235000,238000,367171
2012-12-10,236500,243500,235000,242000,266718
2012-12-11,239500,244500,239500,242000,193842
2012-12-12,242000,243500,231000,235000,470627
2012-12-13,236000,239500,233500,239500,333973
2012-12-14,237000,241000,234000,236000,267532
2012-12-17,237000,238500,226500,227000,369530
2012-12-18,228500,231000,221000,231000,343800
2012-12-20,234000,234000,215000,216500,650790
2012-12-21,217500,227000,217500,227000,337032
2012-12-24,227000,233500,225500,230000,249844
2012-12-26,233000,233000,225000,226000,163005
2012-12-27,226000,229000,221500,225000,152404
2012-12-28,225500,229000,223500,227000,177147
2013-01-02,230500,232500,227000,227500,154535
2013-01-03,229000,232000,219000,221000,356250
2013-01-04,221500,226500,220500,226500,234701
2013-01-07,229500,240500,229000,240000,404906
2013-01-08,240000,241500,236000,237000,198565
2013-01-09,239000,240000,232500,233500,147909
2013-01-10,232000,234000,225500,229000,235270
2013-01-11,232000,232500,225500,228500,170096
2013-01-14,227500,238500,225000,237000,241336
2013-01-15,233500,237000,229500,234500,240676
2013-01-16,237000,240000,231000,232000,184490
2013-01-17,232500,236000,230500,234500,131904
2013-01-18,236000,237000,232000,237000,199066
2013-01-21,239000,244000,236000,243000,362688
2013-01-22,244000,248000,241000,246500,355938
2013-01-23,246500,250000,244500,247500,198321
2013-01-24,248500,249000,245000,247000,134192
2013-01-25,247000,248500,240000,248500,172910
2013-01-28,249500,251000,246000,249000,136694
2013-01-29,249500,249500,240000,242500,239685
2013-01-30,243000,246500,241000,244500,195082
2013-01-31,243000,246500,239000,241000,219159
2013-02-01,242000,247000,242000,246000,209171
2013-02-04,249500,249500,241500,243000,112056
2013-02-05,235500,239000,229500,231500,398162
2013-02-06,229500,231000,220500,226500,448172
2013-02-07,229000,240000,223000,233500,661508
2013-02-08,235000,241000,235000,236000,365567
2013-02-12,238000,240500,232000,235000,190114
2013-02-13,237500,244000,236000,243500,176236
2013-02-14,245000,248500,241500,243000,183484
2013-02-15,247000,247000,243000,246500,116201
2013-02-18,248000,249000,244500,245500,96916
2013-02-19,247000,249000,244000,248000,139704
2013-02-20,250000,262500,250000,261500,425793
2013-02-21,261500,263500,258000,261500,195343
2013-02-22,263000,267000,261000,263500,273490
2013-02-25,263500,264500,260000,262500,130065
2013-02-26,260500,266000,260500,264500,188307
2013-02-27,267000,267500,261000,264000,88984
2013-02-28,265500,267000,259000,263000,180142
2013-03-04,268500,276000,268500,275000,340339
2013-03-05,280000,282500,274500,274500,197976
2013-03-06,274000,276000,270000,270000,146668
2013-03-07,266500,272000,263500,268000,238971
2013-03-08,272500,277000,269500,274000,148588
2013-03-11,273000,275500,260000,264000,381953
2013-03-12,267000,269000,259000,261500,314925
2013-03-13,261500,264500,257500,264500,214688
2013-03-14,265000,266000,261000,263000,149477
2013-03-15,265500,268000,263500,263500,149647
2013-03-18,264500,269500,261000,264000,126283
2013-03-19,267000,275000,266500,273000,181293
2013-03-20,273500,275000,267000,269000,153006
2013-03-21,273500,275000,269000,271000,130448
2013-03-22,273500,275500,270000,275000,150783
2013-03-25,275000,275000,269500,270500,120876
2013-03-26,271500,272000,266000,266500,154192
2013-03-27,266500,271000,263000,270000,161836
2013-03-28,272000,272000,268000,268000,118433
2013-03-29,272000,280000,270000,277000,237188
2013-04-01,280000,295500,278500,294000,315284
2013-04-02,297000,297500,287000,287500,199228
2013-04-03,289500,291000,280500,287500,249503
2013-04-04,287500,290500,282500,286500,185030
2013-04-05,285500,298000,283000,286000,276533
2013-04-08,289000,289000,274000,277500,248196
2013-04-09,273500,279000,264500,277000,260933
2013-04-10,277500,280000,270500,272000,164791
2013-04-11,274000,282000,270500,280000,146664
2013-04-12,284000,294500,283000,292000,257672
2013-04-15,290500,295500,287500,287500,143075
2013-04-16,289000,305500,286500,304500,314680
2013-04-17,304500,307000,294000,296000,215281
2013-04-18,295000,301500,289500,290000,228528
2013-04-19,288500,296000,288000,291000,217204
2013-04-22,288000,292000,286500,289000,313923
2013-04-23,292000,293500,284000,291000,303292
2013-04-24,296000,296000,288500,289000,282191
2013-04-25,289000,292000,286500,289500,173600
2013-04-26,290000,293000,286500,286500,128792
2013-04-29,289500,289500,285500,287000,131456
2013-04-30,289500,298500,289000,296000,325483
2013-05-02,300000,305000,298500,300000,356464
2013-05-03,303500,305000,296500,299000,193356
2013-05-06,300500,303500,297000,297000,143821
2013-05-07,295500,301500,294500,296000,132253
2013-05-08,295000,302000,295000,300500,161402
2013-05-09,298500,301000,286000,288500,436377
2013-05-10,289000,295500,289000,290500,256125
