Date,Open,High,Low,Close,Volume
2016-10-20,106900,107600,104800,105000,305118
2016-10-21,105600,107400,105100,106000,280639
2016-10-24,106300,107300,104100,104200,289877
2016-10-25,104200,105300,102600,103700,302626
2016-10-26,102800,106400,102700,105500,383007
2016-10-27,105500,107000,104900,106900,340410
2016-10-28,106900,107300,104500,104500,261102
2016-10-31,103900,107200,103700,106200,547332
2016-11-01,106000,106900,105800,106100,239589
2016-11-02,106200,107300,105300,105800,429949
2016-11-03,105900,109000,105600,107700,527539
2016-11-04,108300,109200,107000,107100,355949
2016-11-07,107800,108500,106600,108200,310609
2016-11-08,108900,108900,107500,107900,277125
2016-11-09,108400,108600,98600,102000,2248235
2016-11-10,106800,107900,105700,106700,928468
2016-11-11,106700,106800,104600,104600,538977
2016-11-14,105100,105800,103800,103900,356463
2016-11-15,103500,104700,102900,102900,322784
2016-11-16,103300,106100,103000,105100,458986
2016-11-17,105500,106000,103900,103900,233796
2016-11-18,104900,105400,103500,103500,288884
2016-11-21,104000,104000,102700,102900,223986
2016-11-22,103200,104000,102200,102900,244999
2016-11-23,102900,103500,102500,103000,209909
2016-11-24,103000,104300,102200,103200,265954
2016-11-25,103000,104400,103000,104000,161916
2016-11-28,104500,104600,102900,102900,236866
2016-11-29,102700,103600,102500,103000,211850
2016-11-30,103100,103300,102400,102400,282407
2016-12-01,102200,102900,101100,101400,338008
2016-12-02,101400,101600,99500,99600,444033
2016-12-05,99400,100800,98900,100100,373850
2016-12-06,99900,100700,99700,100000,295718
2016-12-07,100100,100300,98200,98700,477315
2016-12-08,99200,100200,98300,98300,478861
2016-12-09,98400,100600,98400,100400,340370
2016-12-12,101000,101100,100200,100800,211122
2016-12-13,100800,103800,100700,103500,489906
2016-12-14,104500,105600,104100,104600,453786
2016-12-15,104200,106000,103800,106000,372989
2016-12-16,106900,108300,106100,107600,642020
2016-12-19,109000,109500,106500,107600,839322
2016-12-20,107400,107400,105000,105000,672457
2016-12-21,105100,106000,102700,103000,863704
2016-12-22,102700,103900,102000,102300,553788
2016-12-23,102300,104100,102100,104000,741075
2016-12-26,104900,106500,103700,106100,969418
2016-12-27,106700,107000,105100,106300,1394455
2016-12-28,107500,107800,105300,106500,1624840
2016-12-29,105800,107700,105100,107400,495091
2017-01-02,107600,108300,106600,108200,433573
2017-01-03,107700,108200,106100,106600,382069
2017-01-04,107000,107000,105100,106100,349978
2017-01-05,106400,107500,105800,106400,312028
2017-01-06,105900,106300,105000,105300,277541
2017-01-09,105400,105800,103900,103900,342236
2017-01-10,104300,104800,103500,103900,227494
2017-01-11,104600,104700,103700,103900,234024
2017-01-12,103600,103700,102600,102600,382476
2017-01-13,102700,104200,102500,102700,314633
2017-01-16,103000,103300,102100,102100,232237
2017-01-17,102000,102400,100800,101000,345446
2017-01-18,101200,102300,101100,101300,255201
2017-01-19,101700,102100,100500,100500,247473
2017-01-20,100500,100800,100000,100500,205138
2017-01-23,100400,101700,100100,100500,227443
2017-01-24,100600,100800,99500,99600,329225
2017-01-25,100000,100900,99000,100000,373548
2017-01-26,100000,100300,98900,100200,419237
2017-01-31,100700,101600,100200,100200,291157
2017-02-01,100800,101000,99800,100000,218575
2017-02-02,100300,101800,99900,100600,288168
2017-02-03,101100,102400,100500,101500,283801
2017-02-06,102000,102200,101000,101400,161541
2017-02-07,101200,101500,100400,100500,248715
2017-02-08,100600,100800,99800,100800,213907
2017-02-09,100600,101000,100300,100400,164606
2017-02-10,100500,102200,100500,101800,268924
2017-02-13,102200,102300,101300,101600,162698
2017-02-14,101400,101600,100400,100500,222605
2017-02-15,100800,101900,100600,101500,235427
2017-02-16,102100,102100,101000,101700,236035
2017-02-17,100700,101500,100700,100900,282868
2017-02-20,101100,101500,100800,100800,160767
2017-02-21,100900,101200,100700,101000,225337
2017-02-22,101100,103000,100300,101100,606524
2017-02-23,102000,102400,101200,101500,319974
2017-02-24,101800,102000,100700,100700,296505
2017-02-27,100900,102400,100900,101500,310611
2017-02-28,102000,102200,101000,101500,231746
2017-03-02,102000,102000,100800,101000,294534
2017-03-03,101000,101400,100400,101000,225135
2017-03-06,100700,101300,100400,100700,189159
2017-03-07,100600,100800,100300,100300,181904
2017-03-08,100500,100700,99700,99800,244088
2017-03-09,99900,100400,99200,99200,293011
2017-03-10,99300,99400,97700,98700,500570
2017-03-13,98400,99300,98300,98500,264147
2017-03-14,98200,98800,97800,98000,337480
2017-03-15,98300,98700,94600,94600,1142451
2017-03-16,94200,96400,94200,96300,492930
2017-03-17,96600,96600,91700,92100,1176971
2017-03-20,91100,91600,88200,91500,1523740
2017-03-21,91100,92500,89800,89800,832157
2017-03-22,90600,91800,89200,89500,927884
2017-03-23,89700,90100,87500,88100,1070934
2017-03-24,88700,89800,87400,89800,866431
2017-03-27,90200,92000,89400,91000,751160
2017-03-28,91500,91600,90100,90800,374769
